ArticleID,ID,Kommentar,Titel,Text
Donated_20Min_None_13106005_1,Donated_20Min_84570,"Hm, kein Wunder. Wer so berechnend und geil aufs Rampenlicht ist wie Meghan, wirds mit Sympathie und Wertschätzung immer schwer haben... Sicher hätte sie Harry auch geheiratet wenn er nicht Prinz gewesen wäre; war ja eindeutig wegen seiner guten Gene... *Ironie off*",#WeLoveYouMeghan: Und plötzlich lieben alle Herzogin Meghan,"Sie trägt die falsche Kleidung und den falschen Nagellack, wagt es, ihre Autotüre selbst zu schliessen, trägt ihr Baby verkehrt und will ein Luxusleben führen. Die Liste der Dinge, die Herzogin Meghan (38) in den Augen der Öffentlichkeit falsch gemacht hat, ist lang. Umfrage Darf die Klatschpresse Meghan so zerreissen? Ja, das ist die Aufgabe einer Klatschpresse. Nein, irgendwann geht es zu weit. Es kommt auf den Ton und den Stil an. Meinungsfreiheit sollte frei sein. Aber Lügen dürfen deshalb keine verbreitet werden. Rasch hatten sich die britischen Medien nach ihrer Verlobung mit Prinz Harry (35) im Winter 2017 auf den Neo-Royal mit Hollywood-Vergangenheit eingeschossen. Die Rolle des neuen Sündenbocks innerhalb der Königsfamilie schien vergeben. Bis jetzt. Nach dem emotionalen Interview von Meghan im Rahmen ihrer Südafrika-Reise Anfang Oktober schwappt nun eine Solidaritätswelle über die Herzogin. Unter dem Hashtag #WeLoveYouMeghan bekunden seit einigen Stunden Tausende ihre Unterstützung für die Prinzen-Ehefrau in den sozialen Medien. «Die süsseste und freundlichste Frau»«Ich traf Meghan, als sie in Birmingham wegen ihrer Verlobung mit Prinz Harry war, und sie war die süsseste, freundlichste Frau, die so demütig schien, uns da zu treffen», schreibt beispielsweise eine Twitter-Userin. #WeLoveYouMeghanI met Meghan when she visited Birmingham during her engagement to prince Harry & she was the sweetest, most polite woman who seemed so humbled to see us there. She said thank u countless times it was so endearing. Meg, u have Harry & Archie, u have EVERYTHING ❤ Aly Brendan ( October 18, 2019 Eine weitere Userin erinnert daran, wie gelöst Meghan noch kurz nach ihrer Verlobung wirkte. «Ich will diese Meghan wiedersehen.» Remember the Meghan and Harry engagement interview? Look how happy and fun she was. This is the Meghan before the British media started their hate campaign. Id like to see this Meghan again. #WeLoveYouMeghan pic.twitter.com/vgJ3Wvqxhe Valentina ☕️ ( October 19, 2019 US-Journalistin Katie Couric bewundert die Herzogin für deren Offenheit und das Zeigen der Verletzlichkeit hinsichtlich der Herausforderungen, den sie als frischgebackene Mutter und öffentliche Person zu führen habe. Und sie teilt wie Tausende andere den betreffenden Interview-Ausschnitt mit der ehemaligen Schauspielerin. I so admire #MeghanMarkle for being honest, open and vulnerable about the struggles shes faced as a new mother and very public figure. #WeLoveYouMeghan pic.twitter.com/mWpFOwVeLk Katie Couric ( October 18, 2019 «Niemand fragt, wie es mir geht»Wie es ihr dabei gehe, unter ständiger kritischer Beobachtung der Medien zu stehen, wollte der Interviewer in der betreffenden Szene aus der Südafrika-Doku, die heute in voller Länge ausgestrahlt wird, wissen. «Jede Frau, gerade wenn sie schwanger ist, ist sehr verletzlich, es wurde mir schwer gemacht», antwortete die Herzogin den Tränen nahe. «Und dann hat man ein Neugeborenes, wissen Sie. Besonders als Frau ist das viel auf einmal. Man versucht, Mutter zu sein und ist frisch verheiratet, und das kommt noch oben drauf. Das ist ja. Aber danke für die Frage, ich wurde nicht oft gefragt, wie es mir geht, aber das ist etwas ganz Reales, das man hinter den Kulissen durchmacht.» Als der Filmemacher nochmals nachhakte, ob es ihr demnach nicht wirklich gut gehe und sie zu kämpfen habe, bejahte Meghan, den Tränen nahe.Trending Thema innert kürzester ZeitTreibende Kraft hinter dem neuen Solidaritäts-Hashtag ist Greg Hogben, britischer Frauenrechtler und LGBTQ-Aktivist. Auch er hat die vorab veröffentlichte Szene mit Meghan gesehen, sie habe ihm «das Herz gebrochen», twitterte er. Und lancierte darauf #WeLoveMeghan, um Unterstützung zu bekunden. Nach weniger als einer Stunde war sein Hashtag Twitter-Trendthema in den USA.Ob der zahlreichen Reaktionen zeigt sich Hogben nun selbst äusserst überrascht. Er hoffe, Meghan sehe alle Kommentare, Nachrichten  «und die Liebe». You guys are incredible. I hope she sees all the amazing comments, messages, and love.#WeLoveYouMeghan pic.twitter.com/z7bkPem6aJ Greg Hogben ( October 18, 2019 Auszeit in AmerikaWie sehr die vergangenen Monate an der Herzogin von Sussex genagt haben müssen, zeigen auch ihre Ferienpläne: Laut «Sunday Times» wollen sich Meghan und Harry mit ihrem Sohn Archie bald eine sechswöchige Auszeit nehmen und die Zeit mit Meghans Mutter in den USA verbringen. (kfi)"
Donated_20Min_None_31013910_1,Donated_20Min_63348,... der Name ist Programm.,ATP-Finals: Federer und Djokovic brauchen den Sieg,Tennis
Donated_20Min_None_31013910_1,Donated_20Min_62898,"......\unser\"""""""" Rosche ? .....meiner ist es zum Glück nicht ....ich brauche richtige Männer .""""""""",ATP-Finals: Federer und Djokovic brauchen den Sieg,Tennis
Donated_20Min_None_27520657_1,Donated_20Min_123986,Alle Flüchtlinge werden von unseren SP Bundesrätinnen in der Schweiz willkommen geheissen.,300 Millionen Menschen drohen Überflutungen,"Der ansteigende Meeresspiegel bedroht die Menschen viel stärker als bisher angenommen. Rund 150 Millionen Menschen sind zurzeit von Überflutungen bedroht. Bis 2050 wird der Lebensraum von 300 Millionen Menschen im Schnitt einmal pro Jahr überflutet. Zu diesem Schluss kommt eine Studie der Organisation Climate Central im Fachblatt «Nature Communications». Zuvor rechneten die Forscher mit 80 Millionen Küstenbewohnern. Steigen die Emissionen bis 2100 in gleichem Masse, sind laut den Forschern sogar 630 Millionen Menschen von jährlichen Fluten betroffen.Städte nahe an der FlutlinieAm stärksten bedroht sind die Menschen in China, Bangladesch, Indien und Vietnam. Nahe an der Flutlinie liegen aber auch Städte in Europa wie Hamburg, Bremen, London, Amsterdam oder Venedig. Dazu kommen New York und Tokio. Mittels modernerer und genauerer Messmethoden gelang es den Forschern, die Angaben zur effektiven Höhe über dem Meeresspiegel bewohnter Gebiete zu korrigieren. Das bisher gebräuchliche Rechenmodell konnte sich dagegen um mehr als vier Meter verrechnen. «Die Prognose für den Anstieg des Meeresspiegels hat sich nicht geändert», erklärt Ben Strauss, Studienautor und Leiter von Climate Central. «Aber anhand unserer neuer Daten beziffern wir mehr Menschen in gefährdeten Gebieten als bisher angenommen.» bz/sda (bz/sda)"
Donated_Blick_None_15637111_5,Donated_Blick_3659,An Gustav Reiter: dann wird ja Öl und alles andere bei den Benzinern und Diesler immer korrekt entsorgt.,Die rote Flotte von Mobility wird grüner. Dazu sollen Autos mit reinen Verbrennungsmotoren weichen und die Anzahl von Fahrzeugen mit Alternativantrieb bis 2023 verdoppelt werden.,"Ziel der Flottenerneuerung: Ein den Vorgaben des Bundes entsprechender maximaler CO2-Ausstoss von 95 Gramm pro Kilometer. Mindestens jedes fünfte Auto der insgesamt über 3''000 Fahrzeuge im Fuhrpark verfüge bis im Jahr 2023 über einen alternativen Antrieb, verspricht die Carsharing-Genossenschaft. Um das Ziel von 700 Autos mit Elektro- oder Hybridantrieb zu erreichen, muss der heutige Bestand an solchen Fahrzeugen mehr als verdoppelt werden, teilte Mobility am Donnerstag in einem Communiqué mit. Den neuen Fahrzeugen Platz machen sollen im Gegenzug reine Benzin- oder Dieselautos. Stand heute verfügt Mobility über rund 120 Hybridfahrzeuge und 100 Fahrzeuge in der Stadt Genf, die mit Bio-Gas fahren. Hinzu kommen 90 rein elektrisch angetriebene Autos. Gerade in diesem Bereich will das Unternehmen bis Ende 2020 bereits über 150 Fahrzeuge bieten, wie Sprecher Patrick Eigenmann auf Anfrage der Nachrichtenagentur AWP sagte. Die Elektromobilität sei ein wichtiges Standbein, hiess es dazu. Allerdings ergebe sich aus der beschlossenen Aufstockung ein unternehmerisches Risiko. Teure Ankaufspreise, fehlende Ladeinfrastruktur sowie Berührungsängste der Kunden machen dem Unternehmen laut Eigenmann noch zu schaffen und erschweren einen «rentablen Elektro-Carsharingbetrieb"""""""". Generell gehe man aber davon aus, dass sich immer mehr Menschen für Elektroautos begeistern lassen und eine Trendwende eingeläutet wird. Gerade bei der Ladeinfrastruktur sei Mobility auf Partner aus Politik und Wirtschaft angewiesen, um den Anteil von Elektroautos an der Flotte weiterhin auszubauen. (SDA)"
Donated_20Min_None_27238567_1,Donated_20Min_82182,Arsch ohne Hirn!,Rätsel gelöst?: Dieses Gemüse sorgt für den Eier-Gestank,"Diverse Autofahrer bemerkten schon am vergangen Montag, dass zwischen St. Margrethen SG und Au SG ein übler Gestank in der Luft liegt. Gegenüber FM1Today sagte ein Lenker: «Ich kann nicht genau sagen, wonach es stinkt. Es ist eine Mischung aus faulen Eiern und Fürzen.» Weder die Kantonspolizei St. Gallen noch die beiden betroffenen Gemeinden konnten das Rätsel bisher lüften. Umfrage Ist Ihnen der Gestank im St. Galler Rheintal auch aufgefallen? Ja. Nein, ich war in der Gegend, aber mir ist nichts aufgefallen. Ich war nicht in der Gegend. Wie FM1Today nun schreibt, könnten Bauern Licht ins Dunkle bringen. «Nach der Gemüseernte bleiben für gewöhnlich Ernterückstände auf dem Feld zurück», erklärt Lorenz Büchel, Anbauleiter der Feldhof Gemüse AG Oberriet, gegenüber 20 Minuten. Bei feuchtem Wetter könne sich der Geruch der Gemüsereste extrem verstärken. «Vor allem bei Kohlgemüse habe ich auch selbst schon die Erfahrung gemacht, dass es nach der Ernte nach faulen Eiern riecht», sagt er. Frische Luft in SichtWieso bereiten die Landwirte dem Gestank also kein Ende, in dem sie die Felder säubern? «Wenn man nasse Böden umpflügt, kann das den Feldern schaden», klärt Büchel auf und bittet um Verständnis: «Sobald die Bauern ihre Felder umpflügen können, werden sie das tun, und der Gestank wird sich legen.» Dies sei in den nächsten Tagen der Fall. Erst kürzlich lag auch im Ortszentrum von Jona SG etwas Übles in der Luft. «Ich konnte nicht mehr nach draussen gehen, um zu rauchen, so schlimm hat es gestunken. Es war kaum zu ertragen», meldete sich damals ein Leser-Reporter. Er beschrieb den Geruch als kompostmässig, es könne aber auch etwas Verdorbenes oder die Kanalisation gewesen sein. Bei diesem Fall konnte der Ursprung des Gestanks nicht geklärt werden. (viv)"
Donated_Blick_None_15663821_5,Donated_Blick_52579,"Bei sowas kommt die Opferhilfe ins Spiel, die schiessen das vor, also die 3000 Fr. und zieht es wenn möglich bei ihm wieder ein. Zum Beispiel vom Lohn im Gefängnis.",Ex-Kampfsportler Qendrim B. hat seine schwangere Ehefrau heftig in den Bauch geschlagen und so das Leben des ungeborenen Kindes riskiert. Jetzt wurde der Prügel-Papa vom Bezirksgericht Winterthur zu zweieinhalb Jahren Knast verurteilt – grösstenteils bedingt.,"Der Streit zwischen Qendrim B.* (27) und seiner Noch-Ehefrau Fatime B.* (23) eskaliert im Dezember 2018 in ihrer Wohnung in Winterthur ZH. Der Ex-Kampfsportler gerät in Rage, ballt seine linke Hand zur Faust und schlägt Fatime B. massiv in den Bauch. Was er haargenau weiss: Sie ist zu diesem Zeitpunkt mit dem zweiten gemeinsamen Kind in der siebten Woche schwanger! Durch die Wucht des Schlags fällt die werdende Mutter zu Boden. Nur durch Glück passiert dem Ungeborenen bei der Brutalo-Attacke nichts. Jetzt musste sich der Prügel-Papa wegen des versuchten strafbaren Schwangerschaftsabbruchs, einfachen Körperverletzungen, Drohungen, Tätlichkeiten und Nötigung vor dem Bezirksgericht Winterthur verantworten. Thaiboxer schlug und kickte seine Frau immer wieder Es war bei weitem nicht das erste Mal, dass Qendrim B. die Kontrolle gegenüber seiner Frau verloren hatte. Regelmässig deckte er Fatime B. laut Anklage so mit Schlägen und Tritten ein. Ob mit der flachen Hand oder der Faust: Während mehrerer Monate kam es immer wieder zu derartigen Gewalt-Ausbrüchen, immer dann, wenn «seine Frau nicht spurte». Einmal war sein Schlag so heftig, dass Qendrim B. seiner Frau dabei Stücke ihrer Schneidezähne herausschlug, wie es in der Anklageschrift heisst. Vor einigen Jahren musste Qendrim B., der einst als Thaiboxer in Winterthur aktiv war und in seiner Kategorie Titel als Europa- und Schweizer Meister gewonnen hatte, seine Sportler-Karriere wegen einer Verletzung aufgeben. Seither ist er arbeitslos und bezieht Sozialhilfe. Seine zügellose Wut bekam seine Frau zu spüren. «Sie haben den Verlust des Kindes in Kauf genommen» Vor Gericht hat der Ex-Kampfsportler alle Vorwürfe bestritten, bezichtigte seine Noch-Ehefrau der Lüge, wie der «Landbote» berichtet. Für das Winterthurer Bezirksgericht gab es aber an der Glaubwürdigkeit von Fatime B. und ihren Schilderungen keinerlei Zweifel. Zudem wurden ihre Aussagen über die Verletzungen, die sie durch Qendrim B. erlitten hatte, durch Arztberichte und Fotos untermauert. «Sie haben den Verlust des Kindes klar in Kauf genommen», sagt die vorsitzende Richterin laut der Zeitung zum Angeklagten. Dennoch: Das Gericht ging nicht davon aus, das Qendrim B. das Ungeborene im Bauch der Mutter tatsächlich habe töten wollen. Qendrim B. kassiert 2,5 Jahre Knast Der Prügel-Papa kassiert für seine gewalttätigen Eskapaden am Freitag schliesslich zweieinhalb Jahre Gefängnis – grösstenteils bedingt. Tatsächlich muss er nur noch rund einen Monat im Gefängnis absitzen, denn über 150 Tage war er bereits hinter Gittern in Untersuchungshaft. Ihm wurde zudem eine Busse von 2200 Franken aufgebrummt und er muss an seine Frau eine Genugtuung in Höhe von 3000 Franken zahlen. Ausserdem wurde der gewalttätige Ehemann dazu verpflichtet, am kantonalen Lernprogramm «Partnerschaft ohne Gewalt» teilzunehmen. *Namen geändert"
Donated_20Min_None_24067933_1,Donated_20Min_17422,Das wissen wir nicht. Aber die sind nicht verpflichtet ausgerechnet zwei Buben zu adoptieren. Gibt es da sicher nie Missbrauch?,Lenzburg AG: Spielgruppe lehnt Kinder von Schwulen-Paar ab,"Wer im Kanton Aargau eine Spielgruppe leiten möchte, braucht keine spezielle Betriebsbewilligung, da die Kinder nur halbtags betreut werden. «Im Zentrum steht gleichwohl aber das Wohl der Kinder», wie der Lenzburger Stadtrat Andreas Schmid gegenüber dem «Lenzburger Bezirks-Anzeiger» sagt. Umfrage Sind Sie für eine Bewilligungspflicht für Spielgruppen? Ja. Nein. Ich weiss nicht. Dieses Wohl wurde allerdings von einer Spielgruppenleiterin in den Hintergrund gedrückt. Sie verweigerte den dreieinhalbjährigen Zwillingen Rafael und Rahul die Aufnahme in ihre Gruppe. Dies weil die Eltern der Brüder homosexuell sind. Gegenüber den Eltern argumentierte die Frau, dass «eine solche Konstellation weder normal noch natürlich sei». Diese Aussage bestätigte sie auch auf Anfrage des Bezirk-Anzeigers. Warten auf den Kindergarten Kein Verständnis für diese Art der Diskriminierung hat Regula Aeschbach, Leiterin Regionalgruppe Aarau. «Jedem Kind soll der Zugang zu einer Spielgruppe ermöglicht werden. Diskriminierendes Verhalten ist in Spielgruppen nicht erwünscht.» Auch Andreas Schmid kann die Entscheidung der Spielgruppenleiterin nicht nachvollziehen. Er sagt: «Ich persönlich habe für die Haltung dieser Spielgruppenleiterin kein Verständnis.» Trotzdem, die Spielgruppenleiterin kann selbst entscheiden, welche Kinder sie in ihre Gruppe aufnimmt. Ob Rafael und Rahul jemals in die Spielgruppe gehen, steht noch in den Sternen. Denn nach den schlechten Erfahrungen überlegen sich die beiden Männer laut «LBA», ob sie nochmals einen Anlauf nehmen oder einfach warten sollen, bis die Kleinen in den Kindergarten kommen. (fss)"
8b329332-e205-4704-a5b4-bc0bb52e5ca0,7a18800f-d582-4636-bd84-f09f61f8f091,"Der ""Mönch Coron"" möchte gern wie Rasputin sein. Das wird Nix da.",Diese 10 Bücher bringen dich gut durch den Corona-Winter,"Corona-bedingt sollten soziale Kontakte in diesem Winter weitgehend gemieden werden. Doch wie lässt sich das Mehr an Me-Time am besten füllen? TV schauen, kochen, Wellness-Anwendungen und Zoom-Calls reichen da bei weitem nicht aus. Für Abwechslung könnten aber auch gute Bücher sorgen. In der obigen Bildstrecke findest du 10 aktuelle Highlights, die dich unterhalten und gleichzeitig schlauer machen. Dann kannst du bei der ersten Party nach Corona direkt mit neuem Wissen punkten. Klick dich durch!Einige unserer Favoriten der letzten Jahre findest du hier:"
429afb3f-491f-4582-82f0-c578ae4fe5bb,03e4a331-a7ff-435a-ad32-51f64144ef91,"Der alte Mann verliert einfach seine Macht wenn er nicht mehr sehen kann auf wem er herumtrampelt und wer sein Gehalt erarbeitet, ganz einfach normal heute.",Coop-Angestellte unterschreiben Petition für Homeoffice,"Mehrere Coop-Mitarbeiter mit Bürojobs machten sich im September mit einer Petition fürs Homeoffice stark. Daraufhin wurden sie von ihrem Chef zu Gesprächen eingeladen, schreibt die «NZZ am Sonntag» mit Verweis auf interne Quellen. Auch die Vorgesetzten der betroffenen Mitarbeiter waren dabei, als CEO Joos Sutter die Mitarbeiter auf ihre Petition ansprach. Homeoffice bleibe vorerst verboten, lautete das Fazit. Erst als der Bundesrat wenig später eine Empfehlung aussprach, durften die Mitarbeiter ihre Arbeit von zu Hause aus erledigen. Die Coop-Medienstelle sagte auf Anfrage zur Zeitung: «Rund 90 Prozent unserer Mitarbeitenden arbeiten im Verkauf, in der Logistik und in der Produktion. Dort ist Homeoffice grundsätzlich nicht möglich.» Man würde daher von den anderen Mitarbeitern mit Bürojobs eine gewisse innerbetriebliche Solidarität erwarten. Auf die Frage, warum die Mitarbeiter zu einem Gespräch eingeladen worden seien, hiess es, dass sich die Unternehmensleitung «in einer «guten Unternehmenskultur» den offenen Fragen der Angestellten stelle."
